name,quantity,model_name,model_number,serial_number,country_of_origin,manufacturer,where_purchased,price,acquired_year,location,remark,department,decription,inventory_number,,,
3 Phase Squirel cage Motor,1,SB-E,,,JP,Super line,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
3 Phase Squirel cage Motor,2,D100LB,,, UK,Crompton,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Spot welding machine,1,M1,,,,Spotmatic,,,1990,Installation Lab (EMB 014),Working,elec,,,,,
Hammer Drill,1,PR-25B,,, JP,Hitachi,,,1990,Installation Lab (EMB 014),Not working,elec,,,,,
Band saw,1,HRB-255,,, JP,Kosuku,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Insulation Testers,5,2404,,, JP,YEW,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Digital insulation testers,6,DIT 99B,,,IN,Meco,,,2011,Installation Lab (EMB 014),Working,elec,,,,,
Ratchet Die Stock,5,Type 62,,,,Spain,,,2011,Installation Lab (EMB 014),Working,elec,,,,,
Digital Lux meter,5,LX-101A,,,,Lutron,,,2011,Installation Lab (EMB 014),Working,elec,,,,,
Earth Testers,5,3235,,, JP,YEW,,,1986,Installation Lab (EMB 014),Not Working,elec,,,,,
Portable drilling machine,1,DN-13A,,, JP,Hitachi,,,1990,Installation Lab (EMB 014),Working,elec,,,,,
Electric hand shear,1,LUC-RN,,, JP,Hitachi,,,1994,Installation Lab (EMB 014),Working,elec,,,,,
Portable Grinders,1,MAG-102,,,,Black &Decker,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Bench clamp,3,770,,,,Somax,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Die Stock,5,MCC,,,,,,,1983,Installation Lab (EMB 014),Working,elec,,,,,
Die Stock,5,114R,,,,REX,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Propane Torch Kit,6,70\71,,,,RIDGID,,,,Installation Lab (EMB 014),Not working,elec,,,,,
Energy Meter Single phase,5,GF-82G,,,,Gold star,,,1996,Installation Lab (EMB 014),Not working,elec,,,,,
Energy Meter Single phase,2,IEC1036,,,,LEGY,,,1996,Installation Lab (EMB 014),Working,elec,,,,,
Energy Meter Single phase,4,DDS999,,,,STAIC,,,2008,Installation Lab (EMB 014),Working,elec,,,,,
Energy Meter Single phase,2,DD28,,,,UNILITE,,,2008,Installation Lab (EMB 014),Working,elec,,,,,
Energy Meter Single phase,1,6753950,,,,OSAKI,,,2000,Installation Lab (EMB 014),Not working,elec,,,,,
Megger,1,BM11,,,,,,,1996,Installation Lab (EMB 014),Working,elec,,,,,
Portable Grinder,1,MAG-102,,,,Black &Decker,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Voltmeter &Transformer set,4,EM70/TL,,,,MEGA,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Cutter,,,,,,BANZAI,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Milli Volt meter,1,S-99-87,,,,Lektrolab,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Current operated E.L.C.B,2,S92,,,,Electrostop,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Motor Starter D.O.L,1,A7S,,,,Autowest,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Motor Starter D.O.L,1,6,,,,MEM,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Motor Starter D.O.L,1,IPS5,,,,Dunfoss,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Motor Starter Star/Delta,1,8404,,,,CEM,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Motor Starter D.O.L,1,B4,,,,Startac,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Motor Starter D.O.L,1,KD-100,,,,Toyoden,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Motor Starter D.O.L,1,,,,,,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Energy Meter Single phase,3,FN 12,,,,Ferranti,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Multimeter,5,MX230,,,,Metrix,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Hand Brace,16,kkk,,,,,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Pipe Bender,2,236,,,,SYKES,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Gas Cylinder,2,Frigen 12,,,,HOECHST,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Portable drilling machine,1,DN-13A,,, JP,Hitachi,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
Electric hand shear,1,LUC-RN,,, JP,Hitachi,,,1983,Installation Lab (EMB 014),Not working,elec,,,,,
DC ammeter,1,2051-0  00270U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
DC ammeter,1,2051-0  00235U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
DC ammeter,1,2051-9  15649U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
DC ammeter,1,2051-0  00255U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
DC ammeter,4,DA-50N,,, JP,NAKAMURA,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Ammeter,4,AA-1N,,, JP,NAKAMURA,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Ammeter,1,2053-0 00036u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
AC Ammeter,1,2053-0 00036u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
AC Ammeter,1,2053-0 00036u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Ammeter,1,2053 07398u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Ammeter,1,2053-2 00259u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
AC Ammeter,1,2053-2 00261u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
AC Ammeter,1,2053-2 00257u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
AC Ammeter,1,2053-2 00263u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Ammeter,1,2053-2 00258u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Ammeter,1,2053-2 00266u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Ammeter,1,2053-2 00260u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Ammeter,1,2053-2 00262u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
AC Ammeter,1,2053-2 00264u,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
AC Ammeter,1,2053-2 00265U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
AC Voltmeter,5,AV-15N,,, JP,NAKAMURA,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Voltmeter,1,2052 11794U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Voltmeter,1,2052 11776U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
AC Voltmeter,1,2052 11781U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
AC Voltmeter,1,2052 11250U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
AC Voltmeter,1,2052 11785U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
DC Voltmeter,5,DV-3N,,, JP,NAKAMURA,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
V-A- Meter,1,2014-3 20196M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
V-A- Meter,1,2014-3 20184M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
V-A- Meter,1,2014-3 20186M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
V-A- Meter,1,2014-4 19429M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
V-A- Meter,1,2014-3 20197M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Portable polyphase wattmeter,1,2042-2 07822M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable polyphase wattmeter,1,2042-2 07861M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable polyphase wattmeter,1,2042-2 07902M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable single phase wattmeter,1,2041-9 14173M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable single phase wattmeter,1,2041-0 15013M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable single phase wattmeter,1,2041-0 14406M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Portable single phase wattmeter,1,2041-0 15018M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Portable single phase wattmeter,1,2041-0 14703M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Portable single phase wattmeter,1,2041-0 14190M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Portable single phase wattmeter,1,2041-2 20858M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Portable single phase wattmeter,1,2041-2 20837M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable single phase wattmeter,1,2041-2 20841M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Portable single phase wattmeter,1,2041-2 20854M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable single phase wattmeter,1,2041-2 20833M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Watt hour meter,1,0B09 6753951,,, JP,OSAKI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Watt hour meter,1,0B09 6753950,,, JP,OSAKI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Portable single phase low p.f meter,1,2041-0 14828M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable single phase low p.f meter,1,2041-2 21112M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable single phase low p.f meter,1,2041-2 21113M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable single phase low p.f meter,1,2041 68AN0436,,, JP,YEW,,,1988,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Portable single phase low p.f meter,1,2041 68AN0437,,, JP,YEW,,,1988,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Synchroscope,1,2109 38271M,,, JP,YEW,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Insulation tester,1,2404-3 00500U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Zero phase current transformer ,1,JEC-143 708205,,, JP,YEW,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Thermometer,1,2677 04052U,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable power factor meter,1,2039-0 04673M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable power factor meter,1,2039-0 0478M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable power factor meter,1,2039-2 06565M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Servo recorder,1,SR-651 0560200S,,, JP,Watanabe,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Stroboscope,1,1214B M30328,,, JP,DAWE,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Torque meter,1,2-OT 0072S,,, JP,JOHNICHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
415V/200V Three phase transformer,1,,,,,,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
240V/200V Single phase transformer,1,T5303,,,,,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Digital tachometer ,1,3631 00766M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Digital tachometer ,1,3631 000727M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Tachometer,1,2601-0 02283M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Tachometer,1,2601-0 02293M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Tachometer,1,5171-729 177/24/7,,, UK,,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Tacho generator,1,2611-0 02283M,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Tacho generator,1,2611-0,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Tacho generator,1,,,, UK,,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Tacho generator,1,,,, UK,,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Frequency meter,1,2038-0,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Frequency meter,1,2038-0,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Avometer,1,610-350,,, JP,AVO,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Avometer,1,610-350,,, JP,AVO,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Micrometer screw gauge,1,,,,,,,,,ELECTRICAL MACHINES LAB (EMB 112), ,elec,,,,,
Demonstrating induction motor,1,,,, JP,SHIMADZU,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
X-Y Recorder,1,WX-4402,,, JP,WATANABE,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
W-Y Recorder,1,WX-4402,,, JP,WATANABE,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Three phase wattmeter,1,8061,,, JP,METRAWATT,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Three phase wattmeter,1,8061,,, JP,METRAWATT,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
E-R Recorder,1,ER-181,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
E-R Recorder,1,ER-181,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
E-R Recorder,1,ER-181,,, JP,SHIMADZU,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Carbon plate rheostat 100A,1,RC-4,,, JP,SHIMADZU,,,1983,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Carbon plate rheostat 100A,1,RC-4,,, JP,SHIMADZU,,,1983,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Carbon plate rheostat 100A,1,RCA-4,,, JP,SHIMADZU,,,1983,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Carbon plate rheostat 30A,1,REC,,, JP,SHIMADZU,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Carbon plate rheostat,1,REC,,, JP,SHIMADZU,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Carbon plate rheostat,1,REC,,, JP,SHIMADZU,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Portable current transformer,1,2241,,, JP,YEW,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable current transformer,1,2241,,, JP,YEW,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable current transformer,1,2241,,, JP,YEW,,,1980,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Slide rheostat,1,D-7,,, JP,YEW,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-7,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-7,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-7,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Slide rheostat,1,D-7,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Slide rheostat,1,D-3,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Slide rheostat,1,D-3,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Slide rheostat,1,D-3,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Slide rheostat,1,D-3,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Slide rheostat,1,D-3,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-7,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-7,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-7,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-7,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-7,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Slide rheostat,1,D-4,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Electrical blower,1,B2-110,,, JP,RYOBI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
DC power supply ,1,110-5L,,, JP,KIKUSUI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
DC power supply ,1,110-5L,,, JP,KIKUSUI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
DC power supply ,1,110-5L,,, JP,KIKUSUI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
DC power supply ,1,110-5L,,, JP,KIKUSUI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Armature glowler test,1,MT326C,,, JP,SNAP-ON,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Armature glowler test,1,MT326C,,, JP,SNAP-ON,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Armature glowler test,1,MT326C,,, JP,SNAP-ON,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Three phase induction motor,1,SB-E,,, JP,MITSUBISHI,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Capacitor start motor,1,SC-KR,,, JP,MITSUBISHI,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Capacitor start motor,1,SC-KR,,, JP,MITSUBISHI,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Single phase induction motor,1,SP-KR,,, JP,MITSUBISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Three phase induction motor,1,SI,,, US,GEC,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
DC motor,1,MG-2011,,, JP,AZUMA,,,1980,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
DC motor,1,MG-2011,,, JP,AZUMA,,,1980,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
DC motor,1,MG-2011,,, JP,AZUMA,,,1980,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
DC motor,1,MG-2011,,, JP,AZUMA,,,1980,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
DC motor,1,MG-2011,,, JP,AZUMA,,,1980,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Cut away condenser motor,1,SKD,,, JP,TOSHIBA,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Cut away split phase start motor,1,SIK,,, JP,TOSHIBA,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Cut away three phase induction motor,1,IK,,, JP,TOSHIBA,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Single phase transformer ,1,SC-1KVA,,, JP,KYONAN,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Single phase transformer ,1,SC-1KVA,,, JP,KYONAN,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Three phase transformer,1,TA-KVA,,, JP,KYONAN,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Three phase voltage slider,1,S3P-415-3B,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Three phase voltage slider,1,S3P-415-3B,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Three phase voltage slider,1,S3P-415-3B,,, JP,YAMABISHI,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Single phase variac,1,15D-1P,,,,,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Star - Delta starter,1,,,, UK,MEM,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Portable potential transformer,1,2261,,, JP,YEW,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Portable potential transformer,1,2261,,, JP,YEW,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Portable potential transformer,1,2261,,, JP,YEW,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Portable potential transformer,1,2261,,, JP,YEW,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Portable potential transformer,1,2261,,, JP,YEW,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Portable potential transformer,1,2261,,, JP,YEW,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Portable potential transformer,1,2261,,, JP,YEW,,,1982,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Three phase transformer,1,TAK-3KVA,,, JP,KYONAN,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Three phase transformer,1,TAK-3KVA,,, JP,KYONAN,,,,ELECTRICAL MACHINES LAB (EMB 112),FAULTY,elec,,,,,
Single phase transformer ,1,SCK-1KVA,,, JP,KYONAN,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Single phase transformer ,1,SCK-1KVA,,, JP,KYONAN,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Single phase variac 28A,1,ATC-E,,, JP,RADIO ELECTRIC,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Three phase variac 8A,1,ATC-E,,, JP,RADIO ELECTRIC,,,,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Three phase variac ,1,ATC-E,,, JP,RADIO ELECTRIC,,,,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Capacitor bank,1,,,, JP,KYONAN,,,1983,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Reactor bank,1,,,, JP,KYONAN,,,1983,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Single phase capacitor motor,1,JY2B-4,,,,                                                                                ,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Three phase slip ring motor,1,DSOR112M2K,,, JP,HELMKE,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Three phase slip ring motor,1,DSOR112M2K,,, JP,HELMKE,,,1980,ELECTRICAL MACHINES LAB (EMB 112),GOOD,elec,,,,,
Ward leonard speed control set,1,,,,,,,,1980,ELECTRICAL MACHINES LAB (EMB 112),FAIR,elec,,,,,
Control panel,1,,,, JP,AZUMA,,,1980,ELECTRICAL MACHINES LAB (EMB 112),,elec,,,,,
DC motor,1,AVS-1007,,, JP,AZUMA,,,1980,ELECTRICAL MACHINES LAB (EMB 112),,elec,,,,,
Eddy current dynamometer,1,,,,,,,,,ELECTRICAL MACHINES LAB (EMB 112),,elec,,,,,
